OTEXE;SEXEP;TRA05;CHAFF;UTATO;STREV
37;1;5;130895;1,98;66109
37;2;7;130476;1,35;96649
37;1;4;100879;1,23;82015
83;1;8;73201;1;73201
45;2;8;137420;2;68710
37;1;3;118641;1;118641
37;2;5;752524;2,79;269722
16;1;7;100251;1;100251
16;1;9;31329;2;15665
16;2;8;80863;1;80863
16;1;7;126066;1;126066
47;1;7;240872;1,64;146873
16;1;10;87192;1,5;58128
28;1;8;356178;4,7;75783
16;1;8;124110;1,75;70920
16;1;8;533046;2;266523
16;1;8;453318;1;453318
50;2;8;149734;1;149734
47;1;6;140014;2;70007
50;1;4;461122;1,13;408073
83;1;5;51245;1;51245
83;1;9;56082;1;56082
46;1;9;99665;1;99665
50;1;4;1064440;7;152063
45;1;9;250119;2,63;95102
45;1;7;121477;2,5;48591
83;1;9;105633;1;105633
16;1;7;95620;1,12;85375
29;1;7;364042;6;60674
29;2;9;159258;3;53086
83;1;11;17449;1;17449
29;1;9;160062;2;80031
83;1;6;326913;2;163457
83;1;7;128881;1;128881
83;1;9;240047;3;80016
16;1;10;456361;3,08;148169
16;1;8;239428;2;119714
37;1;7;1464;1;1464
48;1;7;41855;1;41855
37;1;5;51341;1,01;50833
39;1;9;147091;2,9;50721
37;1;6;193371;2,74;70573
39;2;8;179641;5,14;34950
39;1;7;138902;1,86;74678
37;1;6;341768;3,08;110964
29;1;9;91151;2;45576
28;1;4;192729;3,93;49040
48;2;10;34049;2;17024
28;1;3;114117;1,33;85802
28;2;4;29916;1,06;28223
28;1;3;81600;1;81600
37;2;8;780176;11;70925
39;1;10;599112;11,7;51206
37;1;7;186451;1,78;104748
50;1;5;433604;1,29;336127
48;1;8;48574;1;48574
28;1;8;91391;2,29;39909
29;1;8;157813;2;78907
29;1;5;399890;4;99973
28;2;6;75301;3,42;22018
29;1;5;340270;2;170135
45;1;5;82383;1,5;54922
45;1;3;100445;2;50222
45;1;4;110159;1,19;92571
45;1;8;342049;3;114016
45;1;8;308832;2,35;131418
37;1;10;113133;2,15;52620
37;1;8;237266;4,63;51245
37;1;8;213973;2,94;72780
37;1;7;178155;2,25;79180
37;1;7;348570;3,41;102220
45;1;3;85544;1;85544
45;1;3;120118;1;120118
45;1;7;354214;2;177107
15;1;7;217284;1;217284
45;1;4;338228;2;169114
15;1;4;292988;2;146494
83;1;8;136986;1;136986
15;1;7;450898;1;450898
45;1;4;250371;3;83457
29;1;9;231480;4,95;46764
39;1;6;41009;1;41009
28;1;7;93619;1;93619
46;1;2;27153;1;27153
29;1;5;153236;2,84;53956
48;1;9;86478;2;43239
28;1;9;219176;3,15;69580
74;2;2;122626;2,95;41568
28;1;3;251636;3,88;64855
28;1;4;22338;1;22338
39;1;8;39059;1;39059
28;1;3;16168;1,22;13253
28;1;9;548485;12;45707
48;1;2;26811;1;26811
39;0;8;210387;3,1;67867
45;1;5;384630;2,19;175630
28;2;7;50583;1,19;42507
39;1;9;89992;2,89;31139
50;1;6;1091049;4,79;227776
15;1;9;8468;0,1;84681
39;1;10;209098;5;41820
15;1;5;94811;1;94811
48;1;9;55746;1;55746
28;1;9;191854;2,33;82341
15;2;5;59358;1;59358
39;1;10;135900;2,81;48363
38;2;8;122459;1,78;68797
15;1;9;52287;2;26144
37;1;7;84131;1;84131
37;1;9;60492;1,01;59893
50;1;5;319531;2,28;140145
39;1;9;59712;2,03;29415
39;1;5;69697;2,9;24034
48;2;7;411985;3;137328
39;1;8;199230;4,39;45383
83;1;9;233254;1;233254
46;1;3;20223;2;10112
28;1;8;173310;2,38;72819
83;1;8;128216;1;128216
39;1;8;137030;1;137030
61;2;9;480775;2,27;211795
46;2;7;31376;1;31376
45;1;9;125596;1,57;79997
48;1;4;36845;2;18422
61;1;10;66489;1,5;44326
48;2;5;371707;3,78;98335
38;1;10;319067;4,71;67742
61;1;9;119558;1;119558
39;1;9;433135;11,77;36800
48;1;10;149705;3,25;46063
28;1;6;115455;1,75;65974
38;1;6;831727;7,51;110749
39;1;8;228880;3;76293
74;1;9;177159;1,02;173685
37;2;5;32458;1;32458
16;1;7;198680;3,84;51740
37;1;4;60284;1;60284
15;1;5;109650;2;54825
37;1;10;64096;1,06;60468
37;2;7;43874;1;43874
15;2;5;519643;5,29;98231
37;1;5;71405;1;71405
50;1;9;262148;1,1;238316
37;1;8;156532;2,13;73489
74;1;5;398677;4,5;88595
50;1;9;330758;3,19;103686
29;1;7;918785;12,94;71003
84;1;2;171126;1;171126
37;1;11;186392;2,25;82841
45;1;5;211388;1,14;185428
50;1;7;362183;2;181092
15;2;9;186125;2;93063
15;1;9;192718;2;96359
16;1;10;456246;1;456246
28;1;9;93919;1;93919
50;1;9;580428;1,32;439718
50;1;9;419574;1,23;341117
39;1;10;89237;2,64;33802
37;1;7;471532;4,5;104785
39;1;10;206336;2,63;78455
